Title	Wiki_text	Clean_wiki_text	Wikidata_desc	Clean_wikidata_desc	Category
Publication	<p>To <b>publish</b> is to make content available to the general public. While specific use of the term may vary among countries, it is usually applied to text, images, or other audio-visual content, including paper (newspapers, magazines, catalogs, etc.). The word <i><b>publication</b></i> means the act of publishing, and also any printed copies issued for public distribution. </p> 	to publish is to make content available to the general public while specific use of the term may vary among countries it is usually applied to text images or other audiovisual content including paper newspapers magazines catalogs etc the word publication means the act of publishing and also any printed copies issued for public distribution	content made available to the general public	content made available to the general public	Written_communication
Library of the Printed Web	"<p><b>Library of the Printed Web</b> is a physical archive devoted to web-to-print artists’ books, zines and other printout matter. Founded by Paul Soulellis in 2013, the collection was acquired by The Museum of Modern Art Library in January 2017. The project has been described as ""web culture articulated as printed artifact,"" an ""archive of archives,"" characterized as an ""accumulation of accumulations,"" much of it printed on demand. Techniques for appropriating web content used by artists in the collection include <i>grabbing</i>, <i>hunting</i>, <i>scraping</i> and <i>performing</i>, detailed by Soulellis in ""Search, Compile, Publish,"" and later referenced by Alessandro Ludovico.</p> <p>Among the 130 artists included in Library of the Printed Web are Olia Lialina, Mishka Henner, Clement Valla, Karolis Kosas, Lauren Thorson, Cory Arcangel, Silvio Lorusso, Angela Genusa, Jean Keller, Aaron Krach, Joachim Schmid, Benjamin Shaykin, Chantal Zakari, Richard Prince, David Horvitz and Penelope Umbrico. Over 240 works are in the collection. Library of the Printed Web continues to grow through curatorial acquisition and artist contributions.</p><p>The collection is used primarily for experimental publishing research, as a way to question issues of copyright, privacy and appropriation by artists on the internet, and as the basis for academic workshops in design and new media.</p><p>The project is frequently featured at book fairs, independent publishing conferences and schools, appearing at Miss Read Berlin Art Book Fair, Stadtbibliothek Stuttgart, Merz Akademie, Printed Matter's NY Art Book Fair, Offprint London, Theorizing the Web, Interrupt 3 at Brown University, The Internet Yami-Ichi, Printed Matter's LA Art Book Fair, Odds and Ends Art Book Fair at Yale Art Gallery, Rhode Island School of Design School of Visual Arts, International Center of Photography, School of the Museum of Fine Arts Boston and Offprint Paris. In 2013 Library of the Printed Web was featured at Theorizing the Web and The Book Affair at the opening of the 55th Venice Biennale. </p>"	library of the printed web is a physical archive devoted to webtoprint artists ’ books zines and other printout matter founded by paul soulellis in 2013 the collection was acquired by the museum of modern art library in january 2017 the project has been described as web culture articulated as printed artifact an archive of archives characterized as an accumulation of accumulations much of it printed on demand techniques for appropriating web content used by artists in the collection include grabbing hunting scraping and performing detailed by soulellis in search compile publish and later referenced by alessandro ludovico among the 130 artists included in library of the printed web are olia lialina mishka henner clement valla karolis kosas lauren thorson cory arcangel silvio lorusso angela genusa jean keller aaron krach joachim schmid benjamin shaykin chantal zakari richard prince david horvitz and penelope umbrico over 240 works are in the collection library of the printed web continues to grow through curatorial acquisition and artist contributionsthe collection is used primarily for experimental publishing research as a way to question issues of copyright privacy and appropriation by artists on the internet and as the basis for academic workshops in design and new mediathe project is frequently featured at book fairs independent publishing conferences and schools appearing at miss read berlin art book fair stadtbibliothek stuttgart merz akademie printed matters ny art book fair offprint london theorizing the web interrupt 3 at brown university the internet yamiichi printed matters la art book fair odds and ends art book fair at yale art gallery rhode island school of design school of visual arts international center of photography school of the museum of fine arts boston and offprint paris in 2013 library of the printed web was featured at theorizing the web and the book affair at the opening of the 55th venice biennale	physical archive	physical archive	Written_communication
Ashcan comic	"<p class=""mw-empty-elt""> </p> <p>An <b>ashcan comic</b> is a form of the American comic book originally created solely to establish trademarks on potential titles and not intended for sale. The practice was common in the 1930s and 1940s when the comic book industry was in its infancy, but was phased out after updates to US trademark law. The term was revived in the 1980s by Bob Burden, who applied it to prototypes of his self-published comic book. Since the 1990s, the term has been used to describe promotional materials produced in large print runs and made available for mass consumption. In the film and television industries, the term 'ashcan copy' has been adopted for low-grade material created to preserve a claim to licensed property rights. </p> "	an ashcan comic is a form of the american comic book originally created solely to establish trademarks on potential titles and not intended for sale the practice was common in the 1930s and 1940s when the comic book industry was in its infancy but was phased out after updates to us trademark law the term was revived in the 1980s by bob burden who applied it to prototypes of his selfpublished comic book since the 1990s the term has been used to describe promotional materials produced in large print runs and made available for mass consumption in the film and television industries the term ashcan copy has been adopted for lowgrade material created to preserve a claim to licensed property rights	comic book produced only for legal reasons or promotional preview, rather than for full publication	comic book produced only for legal reasons or promotional preview rather than for full publication	Written_communication
Complete Works	<p>The <i><b>Complete Works</b></i> is a collection of all the cultural works of one artist, writer, musician, group, etc. For example, <i>Complete Works of Shakespeare</i> is an edition containing all the plays and poems of William Shakespeare. A <i>Complete Works</i> published edition of a text corpus is normally accompanied with additional information and critical apparatus. It may include notes, introduction, a biographical sketch, and may pay attention to textual variants. </p>	the complete works is a collection of all the cultural works of one artist writer musician group etc for example complete works of shakespeare is an edition containing all the plays and poems of william shakespeare a complete works published edition of a text corpus is normally accompanied with additional information and critical apparatus it may include notes introduction a biographical sketch and may pay attention to textual variants	collection of all the works of one artist, writer, scientist, musician, group, etc.	collection of all the works of one artist writer scientist musician group etc	Written_communication
Student publication	<p>A <b>student publication</b> is a media outlet such as a newspaper, magazine, television show, or radio station produced by students at an educational institution. These publications typically cover local and school-related news, but they may also report on national or international news as well. Most student publications are either part of a curricular class or run as an extracurricular activity.</p><p>Student publications serve as both a platform for community discussion and a place for those interested in journalism to develop their skills. These publications report news, publish opinions of students and faculty, and may run advertisements catered to the student body. Besides these purposes, student publications also serve as a watchdog to uncover problems at the respective institution. The majority of student publications are funded through their educational institution. Some funds may be generated through sales and advertisements, but the majority usually comes from the school itself. Because of this, educational institutions have specific ways in which they can influence the publications through funding.</p>	a student publication is a media outlet such as a newspaper magazine television show or radio station produced by students at an educational institution these publications typically cover local and schoolrelated news but they may also report on national or international news as well most student publications are either part of a curricular class or run as an extracurricular activitystudent publications serve as both a platform for community discussion and a place for those interested in journalism to develop their skills these publications report news publish opinions of students and faculty and may run advertisements catered to the student body besides these purposes student publications also serve as a watchdog to uncover problems at the respective institution the majority of student publications are funded through their educational institution some funds may be generated through sales and advertisements but the majority usually comes from the school itself because of this educational institutions have specific ways in which they can influence the publications through funding	newspaper or periodical run by students	newspaper or periodical run by students	Written_communication
Administrative guidance	"<p><b>Administrative guidance</b> is non-binding advice given by an administrative agency to the public regarding how best to comply with a particular law or regulation. It may also be referred to by terms such as ""advice"" or ""recommendation."" Guidance is often used to explain the objective or interpretation of a vague or nonspecific law or requirement. </p>"	administrative guidance is nonbinding advice given by an administrative agency to the public regarding how best to comply with a particular law or regulation it may also be referred to by terms such as advice or recommendation guidance is often used to explain the objective or interpretation of a vague or nonspecific law or requirement	form of guidance documentation	form of guidance documentation	Written_communication
Supplement (publishing)	"<p><b>Advertising supplements</b> periodically accompany corresponding newspapers and are prepared by the paper's advertising staff instead of its editorial staff. It is common for them to cover topics such as real estate and automobiles on behalf of the paper's frequent advertisers. </p><p>Some supplements are spin-offs from a newspaper. They are sold separately and typically cover a specific topic, such as the <i>Times Literary Supplement</i> and the <i>Times Educational Supplement</i> </p><p>Supplements found on some DVDs, HD DVDs, and Blu-rays are more commonly known as special features, bonus features, or bonus material. </p><p>In education, supplemental materials are educational materials designed to accompany or expand on the information presented on course textbooks. These can include printed materials, CDs, websites, or other electronic materials.</p><p>In academic publishing, some journals publish supplements, which often either cover an industry-funded conference or are ""symposia"" on a given topic. These supplements are often subsidized by an external sponsor. Such supplements can have guest editors, are often not peer-reviewed to the same standard as the journal itself, and are more likely to use promotional language. Many journals do not publish sponsored supplements. Small-circulation journals are more likely to publish supplements than large, high-prestige journals. Such supplements create conflicts of interest in academic publishing. </p>"	advertising supplements periodically accompany corresponding newspapers and are prepared by the papers advertising staff instead of its editorial staff it is common for them to cover topics such as real estate and automobiles on behalf of the papers frequent advertisers some supplements are spinoffs from a newspaper they are sold separately and typically cover a specific topic such as the times literary supplement and the times educational supplement supplements found on some dvds hd dvds and blurays are more commonly known as special features bonus features or bonus material in education supplemental materials are educational materials designed to accompany or expand on the information presented on course textbooks these can include printed materials cds websites or other electronic materialsin academic publishing some journals publish supplements which often either cover an industryfunded conference or are symposia on a given topic these supplements are often subsidized by an external sponsor such supplements can have guest editors are often not peerreviewed to the same standard as the journal itself and are more likely to use promotional language many journals do not publish sponsored supplements smallcirculation journals are more likely to publish supplements than large highprestige journals such supplements create conflicts of interest in academic publishing	publication that has a role secondary to that of another publication; inverse label of property P9234 (supplement to)	publication that has a role secondary to that of another publication inverse label of property p9234 supplement to	Written_communication
Prize book	<p>In the fields of bibliography and bookselling, <b>prize books</b> (also known as <b>prize bindings</b>), are a category of finely bound books once given as prizes and awards in educational institutions primarily in England, Ireland, and the Netherlands. This tradition flourished in Latin schools in continental Europe from the mid-17th century until the introduction of publishers bindings after about 1830. Books continued to be given as prizes at academic ceremonies, but the only distinguishing feature are typically special inscriptions and/or bookplates. </p>	in the fields of bibliography and bookselling prize books also known as prize bindings are a category of finely bound books once given as prizes and awards in educational institutions primarily in england ireland and the netherlands this tradition flourished in latin schools in continental europe from the mid17th century until the introduction of publishers bindings after about 1830 books continued to be given as prizes at academic ceremonies but the only distinguishing feature are typically special inscriptions andor bookplates	category of finely bound books once given as prizes and awards in educational institutions primarily in England, Ireland, and the Netherlands	category of finely bound books once given as prizes and awards in educational institutions primarily in england ireland and the netherlands	Written_communication
Book	"<p class=""mw-empty-elt""> </p> <p>A <b>book</b> is a medium for recording information in the form of writing or images, typically composed of many pages (made of papyrus, parchment, vellum, or paper) bound together and protected by a cover. The technical term for this physical arrangement is <i>codex</i> (plural, <i>codices</i>). In the history of hand-held physical supports for extended written compositions or records, the codex replaces its predecessor, the scroll. A single sheet in a codex is a leaf and each side of a leaf is a page. </p><p>As an intellectual object, a book is prototypically a composition of such great length that it takes a considerable investment of time to compose and still considered as an investment of time to read. In a restricted sense, a book is a self-sufficient section or part of a longer composition, a usage reflecting that, in antiquity, long works had to be written on several scrolls and each scroll had to be identified by the book it contained. Each part of Aristotle's <i>Physics</i> is called a book. In an unrestricted sense, a book is the compositional whole of which such sections, whether called books or chapters or parts, are parts. </p><p>The intellectual content in a physical book need not be a composition, nor even be called a book. Books can consist only of drawings, engravings or photographs, crossword puzzles or cut-out dolls. In a physical book, the pages can be left blank or can feature an abstract set of lines to support entries, such as in an account book, an appointment book, an autograph book, a notebook, a diary or a sketchbook. Some physical books are made with pages thick and sturdy enough to support other physical objects, like a scrapbook or photograph album. Books may be distributed in electronic form as ebooks and other formats. </p><p>Although in ordinary academic parlance a monograph is understood to be a specialist academic work, rather than a reference work on a scholarly subject, in library and information science <i>monograph</i> denotes more broadly any non-serial publication complete in one volume (book) or a finite number of volumes (even a novel like Proust's seven-volume <i>In Search of Lost Time</i>), in contrast to serial publications like a magazine, journal or newspaper. An avid reader or collector of books is a bibliophile or colloquially, ""bookworm"". A place where books are traded is a bookshop or bookstore. Books are also sold elsewhere and can be borrowed from libraries. Google has estimated that by 2010, approximately 130,000,000 titles had been published. In some wealthier nations, the sale of printed books has decreased because of the increased usage of ebooks.</p>"	a book is a medium for recording information in the form of writing or images typically composed of many pages made of papyrus parchment vellum or paper bound together and protected by a cover the technical term for this physical arrangement is codex plural codices in the history of handheld physical supports for extended written compositions or records the codex replaces its predecessor the scroll a single sheet in a codex is a leaf and each side of a leaf is a page as an intellectual object a book is prototypically a composition of such great length that it takes a considerable investment of time to compose and still considered as an investment of time to read in a restricted sense a book is a selfsufficient section or part of a longer composition a usage reflecting that in antiquity long works had to be written on several scrolls and each scroll had to be identified by the book it contained each part of aristotles physics is called a book in an unrestricted sense a book is the compositional whole of which such sections whether called books or chapters or parts are parts the intellectual content in a physical book need not be a composition nor even be called a book books can consist only of drawings engravings or photographs crossword puzzles or cutout dolls in a physical book the pages can be left blank or can feature an abstract set of lines to support entries such as in an account book an appointment book an autograph book a notebook a diary or a sketchbook some physical books are made with pages thick and sturdy enough to support other physical objects like a scrapbook or photograph album books may be distributed in electronic form as ebooks and other formats although in ordinary academic parlance a monograph is understood to be a specialist academic work rather than a reference work on a scholarly subject in library and information science monograph denotes more broadly any nonserial publication complete in one volume book or a finite number of volumes even a novel like prousts sevenvolume in search of lost time in contrast to serial publications like a magazine journal or newspaper an avid reader or collector of books is a bibliophile or colloquially bookworm a place where books are traded is a bookshop or bookstore books are also sold elsewhere and can be borrowed from libraries google has estimated that by 2010 approximately 130000000 titles had been published in some wealthier nations the sale of printed books has decreased because of the increased usage of ebooks	written text that can be published in printed or electronic form	written text that can be published in printed or electronic form	Written_communication
Book restoration	<p><b>Book restoration</b> is the renewal and repair of books. Techniques include cleaning; mending and filling damaged pages; restitching and rebinding. The first substantial work on the subject was Alfred Bonnardot's <i>Essai sur l'art de Restaurer les Estampes et les Livres</i> which was first published in Paris in 1846. Further significant developments occurred as a result of specific events including the 1904 fire at the Turin National University Library and the 1966 flood of the Arno which damaged over a million items in the National Central Library in Florence.</p>	book restoration is the renewal and repair of books techniques include cleaning mending and filling damaged pages restitching and rebinding the first substantial work on the subject was alfred bonnardots essai sur lart de restaurer les estampes et les livres which was first published in paris in 1846 further significant developments occurred as a result of specific events including the 1904 fire at the turin national university library and the 1966 flood of the arno which damaged over a million items in the national central library in florence	repair and renovation	repair and renovation	Written_communication
