Title	Wiki_text	Clean_wiki_text	Wikidata_desc	Clean_wikidata_desc	Category
Publication	<p>To <b>publish</b> is to make content available to the general public. While specific use of the term may vary among countries, it is usually applied to text, images, or other audio-visual content, including paper (newspapers, magazines, catalogs, etc.). The word <i><b>publication</b></i> means the act of publishing, and also any printed copies issued for public distribution. </p> 	for audiovisual paper or public etc is catalog newspaper mean distribution image and word also copy make while term issued it among including content country vary the to other publication publishing publish usually available printed any use text act general applied specific of magazine may	content made available to the general public	the to public made general content available	Written_communication
Library of the Printed Web	"<p><b>Library of the Printed Web</b> is a physical archive devoted to web-to-print artists’ books, zines and other printout matter. Founded by Paul Soulellis in 2013, the collection was acquired by The Museum of Modern Art Library in January 2017. The project has been described as ""web culture articulated as printed artifact,"" an ""archive of archives,"" characterized as an ""accumulation of accumulations,"" much of it printed on demand. Techniques for appropriating web content used by artists in the collection include <i>grabbing</i>, <i>hunting</i>, <i>scraping</i> and <i>performing</i>, detailed by Soulellis in ""Search, Compile, Publish,"" and later referenced by Alessandro Ludovico.</p> <p>Among the 130 artists included in Library of the Printed Web are Olia Lialina, Mishka Henner, Clement Valla, Karolis Kosas, Lauren Thorson, Cory Arcangel, Silvio Lorusso, Angela Genusa, Jean Keller, Aaron Krach, Joachim Schmid, Benjamin Shaykin, Chantal Zakari, Richard Prince, David Horvitz and Penelope Umbrico. Over 240 works are in the collection. Library of the Printed Web continues to grow through curatorial acquisition and artist contributions.</p><p>The collection is used primarily for experimental publishing research, as a way to question issues of copyright, privacy and appropriation by artists on the internet, and as the basis for academic workshops in design and new media.</p><p>The project is frequently featured at book fairs, independent publishing conferences and schools, appearing at Miss Read Berlin Art Book Fair, Stadtbibliothek Stuttgart, Merz Akademie, Printed Matter's NY Art Book Fair, Offprint London, Theorizing the Web, Interrupt 3 at Brown University, The Internet Yami-Ichi, Printed Matter's LA Art Book Fair, Odds and Ends Art Book Fair at Yale Art Gallery, Rhode Island School of Design School of Visual Arts, International Center of Photography, School of the Museum of Fine Arts Boston and Offprint Paris. In 2013 Library of the Printed Web was featured at Theorizing the Web and The Book Affair at the opening of the 55th Venice Biennale. </p>"	appropriating academic referenced accumulation 2017 compile used by zakari contributionsthe book affair venice mediathe angela curatorial are clement arcangel workshop university benjamin other technique library visual valla cory grow wa collection an include yale gallery silvio basis january krach over for much boston acquisition 55th la project akademie london search penelope school later 130 opening demand alessandro among described fair island web richard aaron culture artifact biennale joachim lorusso lauren stadtbibliothek paris printed olia shaykin yamiichi appropriation characterized articulated been of offprint photography primarily founded read is appearing detailed umbrico international on included odds independent printout matter prince brown it modern schmid grabbing way merz performing question zines museum end mishka keller frequently ludovico 240 genusa at ’ chantal devoted new a karolis henner art acquired paul privacy issue webtoprint conference scraping jean 2013 kosas and center theorizing hunting work rhode research stuttgart lialina content the thorson artist to ny archive david publishing featured publish copyright 3 continues experimental soulellis internet ha interrupt miss fine physical through berlin in design horvitz	physical archive	physical archive	Written_communication
Ashcan comic	"<p class=""mw-empty-elt""> </p> <p>An <b>ashcan comic</b> is a form of the American comic book originally created solely to establish trademarks on potential titles and not intended for sale. The practice was common in the 1930s and 1940s when the comic book industry was in its infancy, but was phased out after updates to US trademark law. The term was revived in the 1980s by Bob Burden, who applied it to prototypes of his self-published comic book. Since the 1990s, the term has been used to describe promotional materials produced in large print runs and made available for mass consumption. In the film and television industries, the term 'ashcan copy' has been adopted for low-grade material created to preserve a claim to licensed property rights. </p> "	run american burden prototype used by book term made sale intended large ashcan comic who material lowgrade right solely wa an bob since for when potential copy form produced film 1930s mass industry after preserve trademark 1940s applied update been of is revived but adopted consumption on 1980s it print originally his selfpublished out property claim law u television 1990s a created phased describe title not and practice promotional licensed the establish to common infancy available ha in	comic book produced only for legal reasons or promotional preview, rather than for full publication	for than book comic produced or reason promotional full publication preview legal rather only	Written_communication
Complete Works	<p>The <i><b>Complete Works</b></i> is a collection of all the cultural works of one artist, writer, musician, group, etc. For example, <i>Complete Works of Shakespeare</i> is an edition containing all the plays and poems of William Shakespeare. A <i>Complete Works</i> published edition of a text corpus is normally accompanied with additional information and critical apparatus. It may include notes, introduction, a biographical sketch, and may pay attention to textual variants. </p>	for edition accompanied all normally etc textual is attention example pay variant and apparatus writer one work play poem william note it the containing group additional artist to shakespeare critical introduction sketch complete information cultural text collection musician an published corpus include with a of may biographical	collection of all the works of one artist, writer, scientist, musician, group, etc.	collection the writer musician all one group work artist etc scientist of	Written_communication
Student publication	<p>A <b>student publication</b> is a media outlet such as a newspaper, magazine, television show, or radio station produced by students at an educational institution. These publications typically cover local and school-related news, but they may also report on national or international news as well. Most student publications are either part of a curricular class or run as an extracurricular activity.</p><p>Student publications serve as both a platform for community discussion and a place for those interested in journalism to develop their skills. These publications report news, publish opinions of students and faculty, and may run advertisements catered to the student body. Besides these purposes, student publications also serve as a watchdog to uncover problems at the respective institution. The majority of student publications are funded through their educational institution. Some funds may be generated through sales and advertisements, but the majority usually comes from the school itself. Because of this, educational institutions have specific ways in which they can influence the publications through funding.</p>	outlet these run most radio also by generated sale medium itself are well from part educational can uncover an catered this advertisement news be curricular national for student those serve skill school produced watchdog place either local because opinion extracurricular typically discussion faculty funding such journalism they schoolrelated besides magazine of activitystudent which both is newspaper but international cover on develop report way institution station some respective influence usually community class at television a their funded may problem or have and majority the come interested to fund body publication publish show purpose platform through specific in	newspaper or periodical run by students	student by or run newspaper periodical	Written_communication
Administrative guidance	"<p><b>Administrative guidance</b> is non-binding advice given by an administrative agency to the public regarding how best to comply with a particular law or regulation. It may also be referred to by terms such as ""advice"" or ""recommendation."" Guidance is often used to explain the objective or interpretation of a vague or nonspecific law or requirement. </p>"	nonspecific regarding comply nonbinding or public is requirement best guidance also particular by used interpretation term given it objective vague the to often regulation such law administrative an how recommendation referred with a explain advice be of agency may	form of guidance documentation	guidance documentation form of	Written_communication
Supplement (publishing)	"<p><b>Advertising supplements</b> periodically accompany corresponding newspapers and are prepared by the paper's advertising staff instead of its editorial staff. It is common for them to cover topics such as real estate and automobiles on behalf of the paper's frequent advertisers. </p><p>Some supplements are spin-offs from a newspaper. They are sold separately and typically cover a specific topic, such as the <i>Times Literary Supplement</i> and the <i>Times Educational Supplement</i> </p><p>Supplements found on some DVDs, HD DVDs, and Blu-rays are more commonly known as special features, bonus features, or bonus material. </p><p>In education, supplemental materials are educational materials designed to accompany or expand on the information presented on course textbooks. These can include printed materials, CDs, websites, or other electronic materials.</p><p>In academic publishing, some journals publish supplements, which often either cover an industry-funded conference or are ""symposia"" on a given topic. These supplements are often subsidized by an external sponsor. Such supplements can have guest editors, are often not peer-reviewed to the same standard as the journal itself, and are more likely to use promotional language. Many journals do not publish sponsored supplements. Small-circulation journals are more likely to publish supplements than large, high-prestige journals. Such supplements create conflicts of interest in academic publishing. </p>"	these staff expand academic presented more supplemental editor commonly real time by itself are spinoffs large course instead other material from educational can likely an include blurays textbook same designed periodically accompany for many smallcirculation guest symposium journal either given typically prepared frequent often such them dvd information printed they website create advertiser advertising editorial of topic which is hd newspaper estate cover on cd external electronic it interest peerreviewed supplement materialsin subsidized feature do some sold behalf standard industryfunded sponsor a use special found conference paper or not separately literary have and highprestige promotional corresponding known the bonus than to sponsored common publishing publish language education automobile specific conflict in	publication that has a role secondary to that of another publication; inverse label of property P9234 (supplement to)	inverse p9234 supplement another secondary ha to property publication role a of label that	Written_communication
Prize book	<p>In the fields of bibliography and bookselling, <b>prize books</b> (also known as <b>prize bindings</b>), are a category of finely bound books once given as prizes and awards in educational institutions primarily in England, Ireland, and the Netherlands. This tradition flourished in Latin schools in continental Europe from the mid-17th century until the introduction of publishers bindings after about 1830. Books continued to be given as prizes at academic ceremonies, but the only distinguishing feature are typically special inscriptions and/or bookplates. </p>	continued special finely primarily academic latin distinguishing continental but century inscription and bookselling 1830 also school bound award prize ceremony category book bookplate tradition given netherlands mid17th are known institution bibliography typically europe the about feature to introduction publisher after binding from educational until only england flourished at this andor ireland a of be in field once	category of finely bound books once given as prizes and awards in educational institutions primarily in England, Ireland, and the Netherlands	finely primarily and bound award prize category book given netherlands institution the educational england ireland a of in once	Written_communication
Book	"<p class=""mw-empty-elt""> </p> <p>A <b>book</b> is a medium for recording information in the form of writing or images, typically composed of many pages (made of papyrus, parchment, vellum, or paper) bound together and protected by a cover. The technical term for this physical arrangement is <i>codex</i> (plural, <i>codices</i>). In the history of hand-held physical supports for extended written compositions or records, the codex replaces its predecessor, the scroll. A single sheet in a codex is a leaf and each side of a leaf is a page. </p><p>As an intellectual object, a book is prototypically a composition of such great length that it takes a considerable investment of time to compose and still considered as an investment of time to read. In a restricted sense, a book is a self-sufficient section or part of a longer composition, a usage reflecting that, in antiquity, long works had to be written on several scrolls and each scroll had to be identified by the book it contained. Each part of Aristotle's <i>Physics</i> is called a book. In an unrestricted sense, a book is the compositional whole of which such sections, whether called books or chapters or parts, are parts. </p><p>The intellectual content in a physical book need not be a composition, nor even be called a book. Books can consist only of drawings, engravings or photographs, crossword puzzles or cut-out dolls. In a physical book, the pages can be left blank or can feature an abstract set of lines to support entries, such as in an account book, an appointment book, an autograph book, a notebook, a diary or a sketchbook. Some physical books are made with pages thick and sturdy enough to support other physical objects, like a scrapbook or photograph album. Books may be distributed in electronic form as ebooks and other formats. </p><p>Although in ordinary academic parlance a monograph is understood to be a specialist academic work, rather than a reference work on a scholarly subject, in library and information science <i>monograph</i> denotes more broadly any non-serial publication complete in one volume (book) or a finite number of volumes (even a novel like Proust's seven-volume <i>In Search of Lost Time</i>), in contrast to serial publications like a magazine, journal or newspaper. An avid reader or collector of books is a bibliophile or colloquially, ""bookworm"". A place where books are traded is a bookshop or bookstore. Books are also sold elsewhere and can be borrowed from libraries. Google has estimated that by 2010, approximately 130,000,000 titles had been published. In some wealthier nations, the sale of printed books has decreased because of the increased usage of ebooks.</p>"	investment academic intellectual contrast number sheet more had subject time like history also by writing selfsufficient book object term made blank leaf ordinary sale medium unrestricted are specialist consist antiquity considerable estimated other library where from cutout part serial can enough an finite this great account increased drawing be proust distributed codex several for single bookshop sevenvolume avid many thick entry bibliophile usage arrangement search composed that recording broadly restricted sense journal each form bookworm papyrus sturdy place written google notebook because reflecting scrapbook support typically predecessor page puzzle technical together still take doll complete need such chapter information length printed handheld appointment even photograph been of section magazine parlance lost contained nonserial composition replaces which whether read identified is set physic newspaper rather vellum cover prototypically on bound left monograph electronic it side line feature compose 2010 some sold borrowed approximately protected nor ebooks traded nation extended a long considered record may scholarly science colloquially denotes paper title or decreased not sketchbook image reference and abstract one diary scroll work although engraving parchment content the understood than to album bookstore called publication 130000000 reader aristotle longer only any wealthier whole novel published crossword compositional ha format plural with elsewhere collector physical autograph in volume	written text that can be published in printed or electronic form	published or form printed electronic written be in that can text	Written_communication
Book restoration	<p><b>Book restoration</b> is the renewal and repair of books. Techniques include cleaning; mending and filling damaged pages; restitching and rebinding. The first substantial work on the subject was Alfred Bonnardot's <i>Essai sur l'art de Restaurer les Estampes et les Livres</i> which was first published in Paris in 1846. Further significant developments occurred as a result of specific events including the 1904 fire at the Turin National University Library and the 1966 flood of the Arno which damaged over a million items in the National Central Library in Florence.</p>	over lart which substantial florence arno restaurer is repair fire renewal et cleaning subject item and on first essai work book flood million sur turin result including rebinding the page university de damaged technique event library occurred 1846 1904 central alfred mending restitching livres paris 1966 wa published significant include at development estampes further filling a restoration of le specific in national bonnardots	repair and renovation	and renovation repair	Written_communication
